ZrB2,SiC,Sinter temp,Sintering Time (min),Relative Density,Temp,Time@Temp (min),Oxide Thickness (um),Thermal Conductivity
90.0,10.0,2000,60,99.8,1500.0,300.0,521.0,67.91746328119746
90.0,10.0,2000,60,99.8,1500.0,300.0,166.0,67.91746328119746
90.0,10.0,2000,60,99.8,1500.0,300.0,166.0,67.91746328119746
90.0,10.0,2000,60,99.8,1500.0,300.0,166.0,67.91746328119746
90.0,10.0,2000,60,99.8,1500.0,300.0,32.0,67.91746328119746
90.0,10.0,1900,20,100.0,1450.0,1200.0,205.0,65.92060142542225
90.0,10.0,1800,5,85.0,1400.0,180.0,145.0,67.7188324866569
90.0,10.0,1800,5,85.0,1400.0,180.0,145.0,67.7188324866569
90.0,10.0,1800,5,85.0,1550.0,180.0,145.0,67.96178319934225
90.0,10.0,2250,180,97.3,1200.0,720.0,89.0,84.22982006638605
90.0,10.0,2250,180,97.3,1200.0,720.0,89.0,84.22982006638605
80.0,20.0,2000,60,99.7,1500.0,300.0,323.0,62.751362233094866
80.0,20.0,1950,4,99.1,1400.0,60.0,45.0,57.85083570425186
80.0,20.0,1850,10,89.0,1500.0,180.0,117.0,68.3602539985271
80.0,20.0,1850,10,89.0,1500.0,180.0,117.0,68.3602539985271
80.0,20.0,2000,60,99.7,1500.0,300.0,114.0,62.751362233094866
80.0,20.0,2000,60,99.7,1500.0,300.0,114.0,62.751362233094866
80.0,20.0,2000,60,99.7,1500.0,300.0,114.0,62.751362233094866
80.0,20.0,1700,600,92.0,1500.0,3000.0,490.0,69.00765719290487
80.0,20.0,1850,10,98.6,1500.0,180.0,44.0,61.06240905842858
80.0,20.0,1900,15,98.3,1500.0,60.0,21.0,62.76989726478654
80.0,20.0,1700,15,90.0,1500.0,60.0,48.0,69.28963292254261
80.0,20.0,1950,60,97.1,1500.0,60.0,10.0,67.47978554613066
80.0,20.0,1950,60,97.1,1200.0,60.0,10.0,74.41698452959191
80.0,20.0,1950,60,97.1,1200.0,60.0,10.0,74.41698452959191
80.0,20.0,2000,60,99.7,1500.0,300.0,16.0,62.751362233094866
80.0,20.0,2000,10,99.3,1600.0,60.0,100.0,51.68127591145405
80.0,20.0,2000,10,99.3,1600.0,60.0,100.0,51.68127591145405
80.0,20.0,2000,10,99.3,1200.0,60.0,100.0,60.138522272514145
80.0,20.0,2000,30,99.0,1450.0,1440.0,90.0,54.04398005390583
80.0,20.0,2000,30,99.0,1200.0,1440.0,90.0,58.43716112814745
80.0,20.0,2000,30,99.0,1300.0,1440.0,175.0,53.47219151883186
80.0,20.0,2000,120,95.5,1600.0,300.0,110.0,61.57748102770184
80.0,20.0,1800,5,98.2,1300.0,720.0,145.0,62.963389201769914
80.0,20.0,1800,5,98.2,1300.0,720.0,145.0,62.963389201769914
80.0,20.0,1850,60,97.5,1400.0,600.0,55.0,62.590370393352806
80.0,20.0,1850,60,97.5,1400.0,600.0,55.0,62.590370393352806
80.0,20.0,1800,5,93.0,1400.0,180.0,127.0,64.24609391643178
80.0,20.0,1800,5,93.0,1550.0,180.0,127.0,64.84416413048048
80.0,20.0,1800,5,97.5,1300.0,480.0,89.0,65.48503375213575
80.0,20.0,1800,5,97.5,1300.0,480.0,89.0,65.48503375213575
80.0,20.0,2250,180,98.2,1200.0,720.0,75.0,70.3053169938244
80.0,20.0,2250,180,98.2,1200.0,720.0,75.0,70.3053169938244
80.0,20.0,2000,30,99.0,1200.0,6000.0,492.0,58.43716112814745
80.0,20.0,1800,5,95.0,1300.0,360.0,60.0,65.0019892528772
80.0,20.0,1800,5,95.0,1300.0,360.0,60.0,65.0019892528772
80.0,20.0,1700,15,90.0,1300.0,60.0,35.0,66.97779578907748
80.0,20.0,1700,15,90.0,1300.0,60.0,35.0,66.97779578907748
80.0,20.0,1900,15,98.3,1300.0,60.0,18.0,61.960952092199896
80.0,20.0,1900,15,98.3,1300.0,60.0,18.0,61.960952092199896
80.0,20.0,2000,30,99.0,1300.0,6000.0,754.0,53.47219151883186
70.0,30.0,2000,60,97.5,1500.0,300.0,229.0,60.56635915019838
70.0,30.0,1950,120,99.5,1500.0,600.0,125.0,55.34841368509575
70.0,30.0,1950,120,99.5,1500.0,600.0,125.0,55.34841368509575
70.0,30.0,1950,120,99.5,1550.0,600.0,125.0,52.29141104660802
70.0,30.0,1950,45,98.0,1500.0,480.0,115.0,58.507064347956394
70.0,30.0,1950,45,98.0,1500.0,480.0,115.0,58.507064347956394
70.0,30.0,2000,60,97.5,1500.0,300.0,82.0,60.56635915019838
70.0,30.0,2000,60,97.5,1500.0,300.0,82.0,60.56635915019838
70.0,30.0,2000,60,97.5,1500.0,300.0,82.0,60.56635915019838
70.0,30.0,1950,45,98.0,1500.0,240.0,80.0,58.507064347956394
70.0,30.0,1950,45,98.0,1500.0,240.0,80.0,58.507064347956394
70.0,30.0,1950,45,98.0,1500.0,120.0,37.0,58.507064347956394
70.0,30.0,1950,45,98.0,1500.0,120.0,37.0,58.507064347956394
70.0,30.0,1900,120,76.2,1300.0,58.33333333,37.0,57.46577098652759
70.0,30.0,1900,120,76.2,1300.0,58.33333333,37.0,57.46577098652759
70.0,30.0,1900,120,76.2,1526.85,58.33333,37.0,60.7111966398953
70.0,30.0,2000,60,97.5,1500.0,300.0,21.0,60.56635915019838
70.0,30.0,1800,5,95.0,1400.0,180.0,110.0,57.504781004659705
70.0,30.0,1800,5,95.0,1400.0,180.0,110.0,57.504781004659705
70.0,30.0,1800,5,95.0,1550.0,180.0,110.0,57.559352757332135
70.0,30.0,2000,120,99.4,1600.0,300.0,160.0,52.08446297738147
70.0,30.0,2000,120,99.4,1600.0,300.0,160.0,52.08446297738147
70.0,30.0,2250,180,97.9,1200.0,720.0,70.0,61.603870833622324
