ZrB2,SiC,Sinter temp,Sintering Time (min),Relative Density,Temp,Time@Temp (min),Oxide Thickness (um),Thermal Conductivity,Link
90,10,2000,60,99.8,1500,300,521,67.91746328,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,2000,60,99.8,1500,300,166,67.91746328,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,2000,60,99.8,1500,300,166,67.91746328,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,2000,60,99.8,1500,300,166,67.91746328,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,2000,60,99.8,1500,300,32,67.91746328,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,1900,20,100,1450,1200,205,65.92060143,https://link.springer.com/article/10.1007/s11182-025-03498-w
90,10,1800,5,85,1400,180,145,67.71883249,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,1800,5,85,1400,180,145,67.71883249,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,1800,5,85,1550,180,145,67.9617832,https://www.sciencedirect.com/science/article/pii/S0955221912003858
90,10,2250,180,97.3,1200,720,89,84.22982007,https://link.springer.com/article/10.1007/s11085-015-9585-9
90,10,2250,180,97.3,1200,720,89,84.22982007,https://link.springer.com/article/10.1007/s11085-015-9585-9
80,20,2000,60,99.7,1500,300,323,62.75136223,https://www.sciencedirect.com/science/article/pii/S0955221912003858
80,20,1950,4,99.1,1400,60,45,57.8508357,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,1850,10,89,1500,180,117,68.360254,https://www.sciencedirect.com/science/article/pii/S0955221912003056
80,20,1850,10,89,1500,180,117,68.360254,https://www.sciencedirect.com/science/article/pii/S0955221912003056
80,20,2000,60,99.7,1500,300,114,62.75136223,https://www.sciencedirect.com/science/article/pii/S0010938X13001108
80,20,2000,60,99.7,1500,300,114,62.75136223,https://www.sciencedirect.com/science/article/pii/S0010938X13001108
80,20,2000,60,99.7,1500,300,114,62.75136223,https://www.sciencedirect.com/science/article/pii/S0010938X13001108
80,20,1700,600,92,1500,3000,490,69.00765719,https://www.sciencedirect.com/science/article/pii/S0955221912003858
80,20,1850,10,98.6,1500,180,44,61.06240906,https://www.sciencedirect.com/science/article/pii/S0955221912003858
80,20,1900,15,98.3,1500,60,21,62.76989726,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,1700,15,90,1500,60,48,69.28963292,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,1950,60,97.1,1500,60,10,67.47978555,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,1950,60,97.1,1200,60,10,74.41698453,https://link.springer.com/article/10.1007/s11085-015-9585-9
80,20,1950,60,97.1,1200,60,10,74.41698453,https://link.springer.com/article/10.1007/s11085-015-9585-9
80,20,2000,60,99.7,1500,300,16,62.75136223,https://www.sciencedirect.com/science/article/pii/S0955221912003858
80,20,2000,10,99.3,1600,60,100,51.68127591,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,2000,10,99.3,1600,60,100,51.68127591,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,2000,10,99.3,1200,60,100,60.13852227,https://link.springer.com/article/10.1007/s11085-015-9585-9
80,20,2000,30,99,1450,1440,90,54.04398005,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,2000,30,99,1200,1440,90,58.43716113,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,2000,30,99,1300,1440,175,53.47219152,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,2000,120,95.5,1600,300,110,61.57748103,https://www.sciencedirect.com/science/article/pii/S0955221912003858
80,20,1800,5,98.2,1300,720,145,62.9633892,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,1800,5,98.2,1300,720,145,62.9633892,https://www.sciencedirect.com/science/article/pii/S0955221910004103
80,20,1850,60,97.5,1400,600,55,62.59037039,https://link.springer.com/article/10.1007/s10853-018-2601-0
80,20,1850,60,97.5,1400,600,55,62.59037039,https://link.springer.com/article/10.1007/s10853-018-2601-0
80,20,1800,5,93,1400,180,127,64.24609392,https://link.springer.com/article/10.1007/s10853-018-2601-0
80,20,1800,5,93,1550,180,127,64.84416413,https://link.springer.com/article/10.1007/s10853-018-2601-0
80,20,1800,5,97.5,1300,480,89,65.48503375,https://www.sciencedirect.com/science/article/pii/S0955221910004103
