ZrB2,SiC,Sinter temp,Sintering Time (min),Relative Density,Temp,Time@Temp (min),Oxide Thickness (um)
90,10,2000,60,99.8,1500,300,521
90,10,2000,60,99.8,1500,300,166
90,10,2000,60,99.8,1500,300,166
90,10,2000,60,99.8,1500,300,166
90,10,2000,60,99.8,1500,300,32
90,10,1900,20,100,1450,1200,205
90,10,1800,5,85,1400,180,145
90,10,1800,5,85,1400,180,145
90,10,1800,5,85,1550,180,145
90,10,2250,180,97.3,1200,720,89
90,10,2250,180,97.3,1200,720,89
80,20,2000,60,99.7,1500,300,323
80,20,1950,4,99.1,1400,60,45
80,20,1850,10,89,1500,180,117
80,20,1850,10,89,1500,180,117
80,20,2000,60,99.7,1500,300,114
80,20,2000,60,99.7,1500,300,114
80,20,2000,60,99.7,1500,300,114
80,20,1700,600,92,1500,3000,490
80,20,1850,10,98.6,1500,180,44
80,20,1900,15,98.3,1500,60,21
80,20,1700,15,90,1500,60,48
80,20,1950,60,97.1,1500,60,10
80,20,1950,60,97.1,1200,60,10
80,20,1950,60,97.1,1200,60,10
80,20,2000,60,99.7,1500,300,16
80,20,2000,10,99.3,1600,60,100
80,20,2000,10,99.3,1600,60,100
80,20,2000,10,99.3,1200,60,100
80,20,2000,30,99,1450,1440,90
80,20,2000,30,99,1200,1440,90
80,20,2000,30,99,1300,1440,175
80,20,2000,120,95.5,1600,300,110
80,20,1800,5,98.2,1300,720,145
80,20,1800,5,98.2,1300,720,145
80,20,1850,60,97.5,1400,600,55
80,20,1850,60,97.5,1400,600,55
80,20,1800,5,93,1400,180,127
80,20,1800,5,93,1550,180,127
80,20,1800,5,97.5,1300,480,89
80,20,1800,5,97.5,1300,480,89
80,20,2250,180,98.2,1200,720,75
80,20,2250,180,98.2,1200,720,75
80,20,2000,30,99,1200,6000,492
80,20,1800,5,95,1300,360,60
80,20,1800,5,95,1300,360,60
80,20,1700,15,90,1300,60,35
80,20,1700,15,90,1300,60,35
80,20,1900,15,98.3,1300,60,18
80,20,1900,15,98.3,1300,60,18
80,20,2000,30,99,1300,6000,754
70,30,2000,60,97.5,1500,300,229
70,30,1950,120,99.5,1500,600,125
70,30,1950,120,99.5,1500,600,125
70,30,1950,120,99.5,1550,600,125
70,30,1950,45,98,1500,480,115
70,30,1950,45,98,1500,480,115
70,30,2000,60,97.5,1500,300,82
70,30,2000,60,97.5,1500,300,82
70,30,2000,60,97.5,1500,300,82
70,30,1950,45,98,1500,240,80
70,30,1950,45,98,1500,240,80
70,30,1950,45,98,1500,120,37
70,30,1950,45,98,1500,120,37
70,30,1900,120,76.2,1300,58.33333333,37
70,30,1900,120,76.2,1300,58.33333333,37
70,30,1900,120,76.2,1526.85,58.33333,37
70,30,2000,60,97.5,1500,300,21
70,30,1800,5,95,1400,180,110
70,30,1800,5,95,1400,180,110
70,30,1800,5,95,1550,180,110
70,30,2000,120,99.4,1600,300,160
70,30,2000,120,99.4,1600,300,160
70,30,2250,180,97.9,1200,720,70
70,30,2250,180,97.9,1200,720,70
70,30,1900,120,76.2,1300,33.33333333,35
70,30,1900,120,76.2,1300,33.33333333,35
70,30,1900,120,76.2,1526.85,33.33333,35
70,30,1900,120,76.2,1300,16.66666667,30
70,30,1900,120,76.2,1300,16.66666667,30
70,30,1900,120,76.2,1526.85,16.66667,30
70,30,1900,120,76.3,1250,5,23.9
70,30,1900,120,76.3,1250,13,27.7
70,30,1900,120,76.3,1250,19,31.3
70,30,1900,120,76.3,1250,25,34.2
70,30,1900,120,76.3,1250,29,35.9
70,30,1900,120,76.3,1250,36,38.3
70,30,1900,120,76.3,1250,48,40.2
70,30,1900,120,76.3,1250,50,40.2
70,30,1900,120,76.3,1250,56,41
70,30,1900,120,76.3,1250,60,42.2
77.6,22.4,1650,120,97.9,1500,10,45
77.6,22.4,1650,120,97.9,1500,10,45
75,15,1940,45,98.2,1450,1200,125
75,15,1940,45,98.2,1450,1200,125
85,15,1930,26,96.5,1500,15,225
85,15,1820,15,99,1450,1200,50
85,15,1820,15,99,1450,1200,50
75,15,1920,45,98.2,1450,1200,100
75,15,1920,45,98.2,1450,1200,100
85,15,1820,15,,1327,120,60
75,25,1700,600,92,1500,3000,65
75,25,1800,5,99,1600,15,36
75,25,1800,5,99,1600,15,36
95,5,1950,60,97.4,1500,60,50
95,5,1950,60,97.4,1200,60,50
95,5,1950,60,97.4,1200,60,50
95,5,2250,180,97.2,1200,720,90
95,5,2250,180,97.2,1200,720,90
100,0,2250,180,96.5,1200,720,175
100,0,2000,6,95.8,1400,60,291
100,0,2000,6,95.8,1400,60,291
100,0,1700,180,67.6,1300,58.33333333,98
100,0,1700,180,67.6,1300,58.33333333,98
100,0,1700,180,67.6,1300,33.33333333,69
100,0,1700,180,67.6,1300,33.33333333,69
100,0,1700,180,67.6,1300,16.66666667,57
100,0,1700,180,67.6,1300,16.66666667,57
100,0,1900,120,67.7,1250,5,41.9
100,0,1900,120,67.7,1250,6,42.6
100,0,1900,120,67.7,1250,7,47
100,0,1900,120,67.7,1250,15,56.8
100,0,1900,120,67.7,1250,22,64.3
100,0,1900,120,67.7,1250,31,71.3
100,0,1900,120,67.7,1250,44,88.9
100,0,1900,120,67.7,1250,50,95.18
100,0,1900,120,67.7,1250,55,99.7
100,0,1900,120,67.7,1250,60,105.5
